id,title,description,creator,year,completeness,country,dataProvider,edmPreview,imageWidth,imageHeight,type
/22/_99228,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099228_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99229,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099229_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99230,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099230_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99232,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099232_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99233,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099233_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99234,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099234_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99238,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099238_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99239,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099239_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99242,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099242_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99253,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099253_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99254,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099254_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99256,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099256_01.jpg&type=IMAGE,0,0,IMAGE
/22/_99257,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099257_01.jpg&type=IMAGE,0,0,IMAGE
/2024904/https___www_topfoto_co_uk_asset_3024561,,,"TopFoto, http://www.wikidata.org/entity/Q110975090",,0,United Kingdom,TopFoto,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fwww.topfoto.co.uk%2FEuropeana%2FPhotography18391939%2FEU017756.jpg&type=IMAGE,0,0,IMAGE
/1190/INP_postcards_11700,,,,,0,Romania,"National Heritage Institute, Bucharest",https://api.europeana.eu/thumbnail/v2/url.json?uri=http%3A%2F%2Fcartipostale.cimec.ro%2FColectia%2F111%2FSTOMFF_CP_10916_Ploiesti049.jpg&type=IMAGE,0,0,IMAGE
/22/_99220,,,,,0,Europe,University of Bologna,https://api.europeana.eu/thumbnail/v2/url.json?uri=https%3A%2F%2Fcmc.byzart.eu%2Ffiles%2Foriginal%2Funibo%2Funibo_collection%2F003_002_099220_01.jpg&type=IMAGE,0,0,IMAGE
