path,mse,source,completeness,title,width,height,aspect_ratio,is_grayscale,jpeg_quality,mean_saturation,dynamic_range
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-46.jpg,0.7368012070655823,tzigara,0.0,,400.0,379.0,1.0554,0.0,56.0,67.3,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-84.jpg,0.5768976807594299,tzigara,0.0,,359.0,500.0,0.718,0.0,67.0,0.2,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-24.jpg,0.6126766800880432,tzigara,0.0,,376.0,500.0,0.752,0.0,64.0,7.31,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-73.jpg,0.6650694608688354,tzigara,0.0,,378.0,500.0,0.756,0.0,68.0,8.47,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/19-4.jpg,0.783820390701294,tzigara,0.0,,400.0,311.0,1.2862,0.0,65.0,16.29,253.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-26.jpg,0.8384513258934021,tzigara,0.0,,400.0,466.0,0.8584,0.0,63.0,38.26,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-28.jpg,0.4406638443470001,tzigara,0.0,,400.0,279.0,1.4337,0.0,62.0,28.63,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-49.jpg,0.4257605969905853,tzigara,0.5,"Biserica de lemn „Cuvioasa Paraschiva” din Ciuperceni(Imagine exterioară – vedere de ansamblu dinspre vest), fotografie",400.0,269.0,1.487,0.0,67.0,5.9,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-51.jpg,0.3958840370178222,tzigara,0.0,,400.0,299.0,1.3378,0.0,68.0,0.27,246.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-32.jpg,0.6399784684181213,tzigara,0.0,,400.0,402.0,0.995,0.0,65.0,4.52,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-14.jpg,0.868241548538208,tzigara,0.0,,400.0,271.0,1.476,0.0,61.0,62.05,250.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-56.jpg,0.9821363091468812,tzigara,0.5,"Cula din Groşerea(Imagine exterioară), fotografie",400.0,478.0,0.8368,0.0,59.0,5.76,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-26.jpg,1.0476644039154053,tzigara,0.0,,400.0,420.0,0.9524,0.0,60.0,0.52,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/19-43.jpg,0.9034588932991028,tzigara,0.0,,362.0,500.0,0.724,0.0,62.0,3.17,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-30.jpg,0.8241945505142212,tzigara,0.0,,400.0,317.0,1.2618,0.0,62.0,31.19,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-55.jpg,0.827186644077301,tzigara,0.0,,396.0,500.0,0.792,0.0,65.0,2.08,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-5.jpg,0.955848515033722,tzigara,0.0,,400.0,289.0,1.3841,0.0,62.0,0.43,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-70.jpg,0.4811405837535858,tzigara,0.5,"Poartă ţărănească(Imagine din afara gospodăriei – vedere frontală), fotografie",400.0,295.0,1.3559,0.0,66.0,35.92,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-83.jpg,0.5076003670692444,tzigara,0.0,,305.0,500.0,0.61,0.0,67.0,41.19,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-15.jpg,0.9813576936721802,tzigara,0.0,,400.0,479.0,0.8351,0.0,62.0,13.76,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-13.jpg,0.6896236538887024,tzigara,0.0,,400.0,288.0,1.3889,0.0,62.0,72.93,252.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-26.jpg,1.1758019924163818,tzigara,0.0,,400.0,345.0,1.1594,0.0,64.0,0.19,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-19.jpg,1.0691745281219482,tzigara,0.0,,400.0,387.0,1.0336,0.0,64.0,0.34,254.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-37.jpg,0.9140951633453368,tzigara,0.0,,400.0,276.0,1.4493,0.0,60.0,0.27,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-39.jpg,0.944472312927246,tzigara,0.0,,400.0,292.0,1.3699,0.0,66.0,0.16,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-19.jpg,0.5117582082748413,tzigara,0.0,,400.0,265.0,1.5094,0.0,69.0,43.14,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-50.jpg,0.7921448349952698,tzigara,0.0,,379.0,500.0,0.758,0.0,63.0,0.22,249.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-92.jpg,1.1874827146530151,tzigara,0.0,,351.0,500.0,0.702,0.0,68.0,0.17,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-25.jpg,1.5986653566360474,tzigara,0.0,,376.0,500.0,0.752,0.0,67.0,1.11,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-55.jpg,0.9570507407188416,tzigara,0.0,,400.0,290.0,1.3793,0.0,68.0,0.11,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-69.jpg,0.8670522570610046,tzigara,0.0,,400.0,493.0,0.8114,0.0,63.0,38.8,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-51.jpg,0.7172943949699402,tzigara,0.0,,361.0,500.0,0.722,0.0,66.0,17.62,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-17.jpg,0.7061885595321655,tzigara,0.0,,400.0,467.0,0.8565,0.0,66.0,5.54,255.0
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-16.jpg,0.4109825491905212,tzigara,0.0,,358.0,500.0,0.716,0.0,65.0,15.18,255.0
