path,mse,source,completeness,title
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-25.jpg,1.5986653566360474,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-55.jpg,0.9570507407188416,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-69.jpg,0.8670522570610046,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-51.jpg,0.7172943949699402,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-17.jpg,0.7061885595321655,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-16.jpg,0.4109825491905212,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-90.jpg,0.5417500734329224,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-61.jpg,0.8031883835792542,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-70.jpg,0.648573100566864,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-81.jpg,0.5733145475387573,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-26.jpg,0.432684063911438,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-22.jpg,0.5538636445999146,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-32.jpg,0.7953004240989685,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-3.jpg,0.6198031902313232,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-49.jpg,0.7706547975540161,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-23.jpg,0.6992039680480957,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/8-70.jpg,0.8757435083389282,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-55.jpg,0.6476691961288452,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-64.jpg,0.2701627314090729,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-29.jpg,0.6251672506332397,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-58.jpg,1.0124561786651611,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/1-67.jpg,1.0936627388000488,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-59.jpg,0.5772653818130493,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/14-16.jpg,0.9380033016204834,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/18-69.jpg,0.7866472601890564,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-22.jpg,0.5511900186538696,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-36.jpg,0.3339460790157318,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-78.jpg,0.6738491058349609,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-64.jpg,0.5305628180503845,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/17-40.jpg,0.8752396702766418,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/15-40.jpg,0.3509968221187591,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/12-83.jpg,0.96676903963089,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/13-14.jpg,0.857007622718811,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/16-32.jpg,0.6926906108856201,tzigara,0.0,
~/Documents/My Projects/Things to Do/FINAL-PAPER-CNIR/05_datasets/tzigara/images/9-54.jpg,0.5571552515029907,tzigara,0.0,
